time,count,precinct
1609891565184,276,Harris-Margaret Harris ED
1609851369798,21,Idlewood Elem
1609855298494,53,Idlewood Elem
1609858885220,79,Idlewood Elem
1609862684911,112,Idlewood Elem
1609866450632,139,Idlewood Elem
1609871398193,182,Idlewood Elem
1609874419579,199,Idlewood Elem
1609878958452,240,Idlewood Elem
1609882269559,268,Idlewood Elem
1609884918489,290,Idlewood Elem
1609888332710,315,Idlewood Elem
1609848534016,7,Indian Creek
1609851173583,13,Indian Creek
1609855179367,25,Indian Creek
1609860048389,51,Indian Creek
1609862618009,66,Indian Creek
1609866500090,84,Indian Creek
1609869552604,108,Indian Creek
1609873102195,128,Indian Creek
1609877483584,163,Indian Creek
1609881421629,185,Indian Creek
1609884263158,202,Indian Creek
1609887427923,226,Indian Creek
1609848241291,0,Jolly Elem
1609851293078,24,Jolly Elem
1609854929164,54,Jolly Elem
1609858190363,80,Jolly Elem
1609863274480,129,Jolly Elem
1609865935682,163,Jolly Elem
1609870307027,199,Jolly Elem
1609874062602,241,Jolly Elem
1609876975513,282,Jolly Elem
1609880609330,339,Jolly Elem
1609885120179,395,Jolly Elem
1609888071121,437,Jolly Elem
1609851645117,30,Kelley Lake Elem
1609855290343,41,Kelley Lake Elem
1609858872256,73,Kelley Lake Elem
1609862507612,100,Kelley Lake Elem
1609866114586,124,Kelley Lake Elem
1609869831825,157,Kelley Lake Elem
1609873324511,187,Kelley Lake Elem
1609876864164,217,Kelley Lake Elem
1609880626645,252,Kelley Lake Elem
1609884230427,289,Kelley Lake Elem
1609887620082,311,Kelley Lake Elem
1609848080648,0,Kingsley Elem
1609849196438,24,Kingsley Elem
1609851631773,51,Kingsley Elem
1609851653836,42,Kingsley Elem
1609853023977,57,Kingsley Elem
1609855179676,78,Kingsley Elem
1609855370081,80,Kingsley Elem
